claim_row_id,policy_id,claim_amount,claim_count,exposure,area,vehicle_power,vehicle_age,driver_age,bonus_malus,vehicle_brand,fuel_type,density,region
1,1552,995.2,2.0,0.59,D,11.0,0.0,39.0,56.0,B12,Diesel,778.0,R22
2,1010996,1128.12,1.0,0.95,E,4.0,1.0,49.0,50.0,B12,Regular,2354.0,R11
3,4024277,1851.11,1.0,0.71,D,4.0,2.0,32.0,106.0,B12,Regular,570.0,R31
4,4007252,1204.0,1.0,0.78,C,4.0,1.0,49.0,57.0,B12,Regular,288.0,R73
5,4046424,1204.0,1.0,0.86,F,12.0,0.0,37.0,50.0,B12,Diesel,27000.0,R11
6,4073956,1204.0,1.0,0.78,E,15.0,10.0,48.0,50.0,B12,Regular,2400.0,R11
7,4012173,1204.0,1.0,0.71,C,5.0,3.0,58.0,50.0,B12,Regular,208.0,R91
8,4020812,54942.62,3.0,0.21,F,8.0,2.0,53.0,52.0,B12,Diesel,15725.0,R11
9,4020812,7620.0,3.0,0.21,F,8.0,2.0,53.0,52.0,B12,Diesel,15725.0,R11
10,4074074,1204.0,1.0,0.78,A,7.0,2.0,29.0,60.0,B12,Diesel,45.0,R74
11,4038917,77.2,1.0,0.77,A,7.0,10.0,27.0,85.0,B5,Regular,39.0,R22
12,4078046,1045.0,1.0,0.84,C,7.0,2.0,44.0,95.0,B12,Diesel,384.0,R73
13,4002627,1204.0,1.0,0.28,E,10.0,4.0,64.0,50.0,B12,Diesel,5859.0,R11
14,4040835,1204.0,1.0,0.43,D,4.0,1.0,51.0,50.0,B12,Regular,518.0,R31
15,4016845,1204.0,1.0,0.36,E,5.0,5.0,41.0,63.0,B12,Diesel,3301.0,R73
16,4020011,1204.0,1.0,0.95,E,4.0,1.0,50.0,50.0,B12,Diesel,2694.0,R54
17,4047043,1204.0,1.0,0.75,C,15.0,10.0,57.0,50.0,B12,Regular,127.0,R72
18,4013137,1204.0,1.0,0.06,D,4.0,1.0,48.0,50.0,B12,Regular,824.0,R91
19,4017287,556.14,1.0,0.7,E,6.0,3.0,48.0,50.0,B12,Regular,3386.0,R11
20,4025167,1204.0,1.0,0.36,C,8.0,2.0,63.0,50.0,B12,Diesel,258.0,R53
21,4044025,1204.0,1.0,0.86,E,9.0,0.0,37.0,50.0,B12,Regular,9484.0,R11
22,4070042,1204.0,1.0,0.53,B,7.0,2.0,53.0,72.0,B12,Regular,57.0,R82
23,4002743,556.14,2.0,0.71,D,6.0,8.0,41.0,72.0,B12,Regular,824.0,R91
24,4002743,1204.0,2.0,0.71,D,6.0,8.0,41.0,72.0,B12,Regular,824.0,R91
25,4040516,556.14,2.0,0.24,E,4.0,1.0,23.0,80.0,B3,Diesel,3317.0,R93
26,4040516,1204.0,2.0,0.24,E,4.0,1.0,23.0,80.0,B3,Diesel,3317.0,R93
27,4018480,1204.0,1.0,0.87,F,10.0,2.0,33.0,101.0,B12,Regular,27000.0,R11
28,1012867,417.52,1.0,0.72,D,6.0,4.0,35.0,50.0,B2,Diesel,936.0,R31
29,4071839,1204.0,1.0,0.62,C,10.0,2.0,29.0,64.0,B12,Regular,247.0,R93
30,4051128,1204.0,1.0,0.17,C,11.0,9.0,31.0,57.0,B1,Diesel,269.0,R31
31,4027811,1204.0,1.0,0.45,C,7.0,2.0,80.0,50.0,B12,Diesel,196.0,R72
32,1007007,419.23,1.0,0.53,C,7.0,7.0,23.0,85.0,B12,Diesel,317.0,R11
33,4031365,1204.0,1.0,0.46,D,5.0,4.0,25.0,85.0,B5,Diesel,538.0,R53
34,1013558,9568.34,1.0,0.66,D,6.0,1.0,49.0,50.0,B12,Regular,684.0,R31
35,4049865,76.54,1.0,0.24,D,6.0,8.0,31.0,68.0,B12,Regular,910.0,R31
36,4032858,1204.0,1.0,0.51,D,10.0,5.0,41.0,50.0,B12,Diesel,581.0,R82
